団体コード,都道府県名,2025年人口（男）,2025年人口（女）,2025年人口（計）,2025年世帯数,2024年転入者数（国内）,2024年転入者数（国外）,2024年転入者数（計）,2024年出生者数,2024年転出者数（国内）,2024年転出者数（国外）,2024年転出者数（計）,2024年死亡者数
-,合計,60663248,63667433,124330690,61287994,5206486,807146,6013632,710427,5232024,376536,5608560,1608923
10006,北海道,2387307,2657518,5044825,2812839,224321,25673,249994,22877,231521,12556,244077,76433
20001,青森県,562295,623472,1185767,592182,29814,2439,32253,5133,35220,1382,36602,20528
30007,岩手県,557528,596372,1153900,534966,30880,2801,33681,4929,35859,1354,37213,19678
40002,宮城県,1084679,1140301,2224980,1052122,94295,7426,101721,11446,98026,3596,101622,28980
50008,秋田県,430112,477481,907593,423081,18329,1541,19870,3309,21686,1022,22708,17411
60003,山形県,491172,521183,1012355,422458,24420,2415,26835,4726,28405,1323,29728,16834
70009,福島県,870911,900403,1771314,800927,46616,4415,51031,8340,53604,2187,55791,27361
80004,茨城県,1431244,1417353,2848597,1327389,98734,25384,124118,14557,105268,9148,114416,39013
90000,栃木県,954064,950109,1904173,875685,60525,11909,72434,9669,62333,5303,67636,25667
100005,群馬県,947579,960397,1907976,890162,63722,15099,78821,10019,64629,6038,70667,27297
110001,埼玉県,3677260,3697034,7374294,3555029,332179,44340,376519,42261,311129,19917,331046,86438
120006,千葉県,3141610,3169969,6311579,3102148,287999,57098,345097,35589,282117,18081,300198,75251
130001,東京都,6875969,7126562,14002534,7682155,927032,156301,1083333,88622,851730,71747,923477,141081
140007,神奈川県,4578234,4624325,9202559,4604332,445812,52273,498085,53629,422416,30459,452875,102509
150002,新潟県,1027395,1083359,2110754,920725,53978,5824,59802,10021,60028,3577,63605,33020
160008,富山県,491818,516718,1008536,436122,24536,4763,29299,5210,26805,2534,29339,15209
170003,石川県,533242,564877,1098121,501139,34568,5609,40177,6193,39212,2973,42185,15058
180009,福井県,364197,382493,746690,306635,18733,4642,23375,4502,20545,2234,22779,10543
190004,山梨県,393986,407068,801056,377101,28720,4413,33133,4277,28874,2316,31190,11212
200000,長野県,985768,1026630,2012399,903498,63266,12349,75615,10712,65232,7111,72343,28869
210005,岐阜県,951437,999855,1951292,860512,58159,13326,71485,10344,63839,6885,70724,26512
220001,静岡県,1768928,1806776,3575704,1655220,114961,20417,135378,18344,122408,11850,134258,49167
230006,愛知県,3744409,3739346,7483755,3499090,330018,64164,394182,48233,339151,33796,372947,83093
240001,三重県,854465,886801,1741266,821382,53443,12403,65846,9379,60030,6629,66659,24028
250007,滋賀県,693864,711382,1405246,623703,49616,7465,57081,9090,50234,4986,55220,15572
260002,京都府,1182339,1289674,2472013,1262791,105397,19582,124979,13290,111184,10277,121461,31739
270008,大阪府,4216807,4555154,8771961,4565594,428064,66215,494279,55381,411406,25639,437045,109990
280003,兵庫県,2579265,2814342,5393607,2630792,190816,27947,218763,31359,198647,14572,213219,68447
290009,奈良県,617325,686542,1303867,613342,38303,4664,42967,6762,40651,2966,43617,17410
300004,和歌山県,426826,474367,901193,443306,21144,2361,23505,4516,24143,1359,25502,14673
310000,鳥取県,256002,278000,534003,241254,13138,1452,14590,3112,15005,775,15780,8032
320005,島根県,309844,332746,642590,293821,17108,2170,19278,3730,19230,1294,20524,10413
330001,岡山県,887490,947988,1835478,873733,59064,10212,69276,11087,64700,4581,69281,25576
340006,広島県,1327153,1401618,2728771,1345070,98973,18355,117328,16134,111013,7901,118914,35693
350001,山口県,616947,676009,1292956,657945,39075,4490,43565,6835,43200,2627,45827,21347
360007,徳島県,336025,364384,700409,338987,18210,2435,20645,3558,21184,1195,22379,11295
370002,香川県,456140,483825,939965,452423,27142,5292,32434,5170,29940,2181,32121,13788
380008,愛媛県,617325,679034,1296359,657422,33320,6030,39350,6627,38736,2585,41321,20479
390003,高知県,315518,349345,664863,347128,18184,1724,19908,3126,21447,895,22342,11442
400009,福岡県,2424041,2662916,5086957,2571378,254490,30936,285426,32939,251570,10645,262215,62968
410004,佐賀県,378910,415342,794252,348764,25275,3064,28339,4899,27229,1315,28544,11386
420000,長崎県,603308,671063,1274371,634937,40991,4888,45879,7045,46258,2263,48521,19983
430005,熊本県,817426,898934,1716360,817122,70587,8345,78932,10450,72387,3762,76149,24601
440001,大分県,526667,575435,1102102,550807,33461,6260,39721,6040,36443,2761,39204,16807
450006,宮崎県,497493,550854,1048347,534102,33564,2905,36469,6029,34888,1567,36455,16405
460001,鹿児島県,739056,819864,1558920,813191,53764,4940,58704,8993,58580,2295,60875,24206
470007,沖縄県,731868,752213,1484081,713483,71740,8390,80130,11934,73882,4077,77959,15479
